date | value
2009-01-01 | 991
2010-02-02 | 982
2011-03-03 | 973
2012-04-04 | 964
2013-05-05 | 955
2014-06-06 | 946
2015-07-07 | 937
2016-08-08 | 928
2017-09-09 | 919
2018-10-10 | 910
2019-11-11 | 899
2020-12-12 | 888
2021-01-13 | 877
2022-02-14 | 866
2009-03-15 | 855
2010-04-16 | 844
2011-05-17 | 833
2012-06-18 | 822
2013-07-19 | 811
2014-08-20 | 800
2015-09-21 | 790
2016-10-22 | 780
2017-11-23 | 770
2018-12-24 | 760
2019-01-25 | 750
2020-02-26 | 740
2021-03-27 | 730
2022-04-28 | 720
2009-05-01 | 710
2010-06-02 | 700
2011-07-03 | 690
2012-08-04 | 680
2013-09-05 | 670
2014-10-06 | 660
2015-11-07 | 650
2016-12-08 | 640
2017-01-09 | 630
2018-02-10 | 620
2019-03-11 | 610
2020-04-12 | 600
2021-05-13 | 590
2022-06-14 | 580
2009-07-15 | 570
2010-08-16 | 560
2011-09-17 | 550
2012-10-18 | 540
2013-11-19 | 530
2014-12-20 | 520
2015-01-21 | 510
2016-02-22 | 500
2017-03-23 | 490
2018-04-24 | 480
2019-05-25 | 470
2020-06-26 | 460
2021-07-27 | 450
2022-08-28 | 440
2009-09-01 | 430
2010-10-02 | 420
2011-11-03 | 410
2012-12-04 | 400
2013-01-05 | 390
2014-02-06 | 380
2015-03-07 | 370
2016-04-08 | 360
2017-05-09 | 350
2018-06-10 | 340
2019-07-11 | 330
2020-08-12 | 320
2021-09-13 | 310
2022-10-14 | 1000
